"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"16:21:50,9483038","pafish64.exe","12688","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"16:21:50,9486754","pafish64.exe","12688","IRP_MJ_CREATE","C:\Users\LGE\Downloads","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Directory, Synchronous IO Non-Alert, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"16:21:50,9489141","pafish64.exe","12688","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x7ffb7e340000, Image Size: 0xc2000"
"16:21:50,9492234","pafish64.exe","12688","Load Image","C:\Windows\System32\KernelBase.dll","SUCCESS","Image Base: 0x7ffb7d990000, Image Size: 0x2f6000"
"16:21:50,9503260","pafish64.exe","12688","IRP_MJ_CREATE","C:\Windows\System32\conhost.exe","SUCCESS","Desired Access: Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:21:50,9504006","pafish64.exe","12688","FASTIO_ACQUIRE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\conhost.exe","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE_READWRITE"
"16:21:50,9504221","pafish64.exe","12688","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\conhost.exe","SUCCESS",""
"16:21:50,9504447","pafish64.exe","12688","FASTIO_ACQUIRE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\conhost.exe","SUCCESS","SyncType: SyncTypeOther"
"16:21:50,9504626","pafish64.exe","12688","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\conhost.exe","SUCCESS",""
"16:21:50,9504993","pafish64.exe","12688","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options\Conhost.exe","NAME NOT FOUND","Desired Access: Query Value, Enumerate Sub Keys"
"16:21:50,9505510","pafish64.exe","12688","IRP_MJ_QUERY_SECURITY","C:\Windows\System32\conhost.exe","SUCCESS","Information: Label"
"16:21:50,9506043","pafish64.exe","12688","IRP_MJ_QUERY_INFORMATION","C:\Windows\System32\conhost.exe","SUCCESS","Type: QueryNameInformationFile, Name: \Windows\System32\conhost.exe"
"16:21:50,9512063","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-1815651698-557302646-667744772-1001","SUCCESS","Desired Access: All Access"
"16:21:50,9512348","pafish64.exe","12688","RegQueryValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-1815651698-557302646-667744772-1001\\Device\HarddiskVolume2\Windows\System32\conhost.exe","SUCCESS","Type: REG_BINARY, Length: 24, Data: 40 20 0B C9 7B 8C DC 01 00 00 00 00 00 00 00 00"
"16:21:50,9512685","pafish64.exe","12688","RegSetValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-1815651698-557302646-667744772-1001\\Device\HarddiskVolume2\Windows\System32\conhost.exe","SUCCESS","Type: REG_BINARY, Length: 24, Data: F4 D1 7B FF 7B 8C DC 01 00 00 00 00 00 00 00 00"
"16:21:50,9514632","pafish64.exe","12688","RegCloseKey","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-1815651698-557302646-667744772-1001","SUCCESS",""
"16:21:50,9514872","pafish64.exe","12688","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager\BAM","REPARSE","Desired Access: Query Value"
"16:21:50,9515115","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager\BAM","NAME NOT FOUND","Desired Access: Query Value"
"16:21:50,9515527","pafish64.exe","12688","Process Create","C:\Windows\System32\Conhost.exe","SUCCESS","PID: 5648, Command line: \??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1"
"16:21:50,9516083","pafish64.exe","12688","IRP_MJ_CLEANUP","C:\Windows\System32\conhost.exe","SUCCESS",""
"16:21:51,1593385","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","REPARSE","Desired Access: Read"
"16:21:51,1594796","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\StateSeparation\RedirectionMap\Keys","NAME NOT FOUND","Desired Access: Read"
"16:21:51,1596325","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","REPARSE","Desired Access: Read"
"16:21:51,1596592","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS","Desired Access: Read"
"16:21:51,1596864","pafish64.exe","12688","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSAppCompat","NAME NOT FOUND","Length: 548"
"16:21:51,1597452","pafish64.exe","12688","RegQueryValue","HKLM\System\CurrentControlSet\Control\Terminal Server\TSUserEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"16:21:51,1597752","pafish64.exe","12688","RegCloseKey","HKLM\System\CurrentControlSet\Control\Terminal Server","SUCCESS",""
"16:21:51,1605686","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","REPARSE","Desired Access: Query Value, Set Value"
"16:21:51,1605917","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\SafeBoot\Option","NAME NOT FOUND","Desired Access: Query Value, Set Value"
"16:21:51,1606176","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","REPARSE","Desired Access: Read"
"16:21:51,1606355","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Srp\GP\DLL","NAME NOT FOUND","Desired Access: Read"
"16:21:51,1606714","pafish64.exe","12688","RegOpenKey","HKLM\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","SUCCESS","Desired Access: Query Value"
"16:21:51,1607071","pafish64.exe","12688","RegQueryValue","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers\TransparentEnabled","NAME NOT FOUND","Length: 80"
"16:21:51,1607331","pafish64.exe","12688","RegCloseKey","HKLM\SOFTWARE\Policies\Microsoft\Windows\safer\codeidentifiers","SUCCESS",""
"16:21:51,1607614","pafish64.exe","12688","RegOpenKey","HKCU\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers","NAME NOT FOUND","Desired Access: Query Value"
"16:21:51,1608035","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem\","REPARSE","Desired Access: Read"
"16:21:51,1608654","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS","Desired Access: Read"
"16:21:51,1609129","pafish64.exe","12688","RegQueryValue","HKLM\System\CurrentControlSet\Control\FileSystem\LongPathsEnabled","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"16:21:51,1609370","pafish64.exe","12688","RegCloseKey","HKLM\System\CurrentControlSet\Control\FileSystem","SUCCESS",""
"16:21:51,1612458","pafish64.exe","12688","FASTIO_NETWORK_QUERY_OPEN","C:\Windows\System32\apphelp.dll","FAST IO DISALLOWED",""
"16:21:51,1613408","pafish64.exe","12688","IRP_MJ_CREATE","C:\Windows\System32\apphelp.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:21:51,1613989","pafish64.exe","12688","FASTIO_QUERY_INFORMATION","C:\Windows\System32\apphelp.dll","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 14/01/2026 09:31:33, LastAccessTime: 23/01/2026 16:19:45, LastWriteTime: 14/01/2026 09:31:33, ChangeTime: 14/01/2026 10:35:28, FileAttributes: A"
"16:21:51,1614153","pafish64.exe","12688","IRP_MJ_CLEANUP","C:\Windows\System32\apphelp.dll","SUCCESS",""
"16:21:51,1614380","pafish64.exe","12688","IRP_MJ_CLOSE","C:\Windows\System32\apphelp.dll","SUCCESS",""
"16:21:51,1615417","pafish64.exe","12688","IRP_MJ_CREATE","C:\Windows\System32\apphelp.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:21:51,1615993","pafish64.exe","12688","FASTIO_ACQUIRE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\apphelp.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"16:21:51,1616159","pafish64.exe","12688","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\apphelp.dll","SUCCESS",""
"16:21:51,1616327","pafish64.exe","12688","FASTIO_ACQUIRE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\apphelp.dll","SUCCESS","SyncType: SyncTypeOther"
"16:21:51,1616438","pafish64.exe","12688","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\System32\apphelp.dll","SUCCESS",""
"16:21:51,1618837","pafish64.exe","12688","Load Image","C:\Windows\System32\apphelp.dll","SUCCESS","Image Base: 0x7ffb7a8d0000, Image Size: 0x94000"
"16:21:51,1621273","pafish64.exe","12688","IRP_MJ_CLEANUP","C:\Windows\System32\apphelp.dll","SUCCESS",""
"16:21:51,1621566","pafish64.exe","12688","IRP_MJ_CLOSE","C:\Windows\System32\apphelp.dll","SUCCESS",""
"16:21:51,1622973","pafish64.exe","12688","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","Desired Access: Query Value"
"16:21:51,1623299","pafish64.exe","12688","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\LogFlags","NAME NOT FOUND","Length: 20"
"16:21:51,1623534","pafish64.exe","12688","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS",""
"16:21:51,1624668","pafish64.exe","12688","RegOpenKey","HKLM\Software\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS","Desired Access: Query Value"
"16:21:51,1624873","pafish64.exe","12688","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\ShowDebugInfo","NAME NOT FOUND","Length: 20"
"16:21:51,1625053","pafish64.exe","12688","RegCloseKey","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags","SUCCESS",""
"16:21:51,1626617","pafish64.exe","12688","IRP_MJ_CREATE","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:21:51,1627003","pafish64.exe","12688","IRP_MJ_QUERY_SECURITY","C:\Users\LGE\Downloads\pafish64.exe","BUFFER OVERFLOW","Information: Owner"
"16:21:51,1627169","pafish64.exe","12688","IRP_MJ_QUERY_SECURITY","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS","Information: Owner"
"16:21:51,1627317","pafish64.exe","12688","IRP_MJ_CLEANUP","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS",""
"16:21:51,1627571","pafish64.exe","12688","IRP_MJ_CLOSE","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS",""
"16:21:51,1628899","pafish64.exe","12688","IRP_MJ_CREATE","C:\Windows\System32\ntdll.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:21:51,1629357","pafish64.exe","12688","IRP_MJ_QUERY_SECURITY","C:\Windows\System32\ntdll.dll","BUFFER OVERFLOW","Information: Owner"
"16:21:51,1629494","pafish64.exe","12688","IRP_MJ_QUERY_SECURITY","C:\Windows\System32\ntdll.dll","SUCCESS","Information: Owner"
"16:21:51,1629632","pafish64.exe","12688","IRP_MJ_CLEANUP","C:\Windows\System32\ntdll.dll","SUCCESS",""
"16:21:51,1629804","pafish64.exe","12688","IRP_MJ_CLOSE","C:\Windows\System32\ntdll.dll","SUCCESS",""
"16:21:51,1630782","pafish64.exe","12688","IRP_MJ_CREATE","C:\Windows\System32\kernel32.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:21:51,1631191","pafish64.exe","12688","IRP_MJ_QUERY_SECURITY","C:\Windows\System32\kernel32.dll","BUFFER OVERFLOW","Information: Owner"
"16:21:51,1631321","pafish64.exe","12688","IRP_MJ_QUERY_SECURITY","C:\Windows\System32\kernel32.dll","SUCCESS","Information: Owner"
"16:21:51,1631455","pafish64.exe","12688","IRP_MJ_CLEANUP","C:\Windows\System32\kernel32.dll","SUCCESS",""
"16:21:51,1631618","pafish64.exe","12688","IRP_MJ_CLOSE","C:\Windows\System32\kernel32.dll","SUCCESS",""
"16:21:51,1632725","pafish64.exe","12688","IRP_MJ_CREATE","C:\Windows\System32\KernelBase.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:21:51,1632990","pafish64.exe","12688","IRP_MJ_QUERY_SECURITY","C:\Windows\System32\KernelBase.dll","BUFFER OVERFLOW","Information: Owner"
"16:21:51,1633119","pafish64.exe","12688","IRP_MJ_QUERY_SECURITY","C:\Windows\System32\KernelBase.dll","SUCCESS","Information: Owner"
"16:21:51,1633249","pafish64.exe","12688","IRP_MJ_CLEANUP","C:\Windows\System32\KernelBase.dll","SUCCESS",""
"16:21:51,1633419","pafish64.exe","12688","IRP_MJ_CLOSE","C:\Windows\System32\KernelBase.dll","SUCCESS",""
"16:21:51,1634614","pafish64.exe","12688","IRP_MJ_CREATE","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"16:21:51,1635129","pafish64.exe","12688","FASTIO_QUERY_INFORMATION","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Type: QueryStandardInformationFile, AllocationSize: 4 075 520, EndOfFile: 4 075 396, NumberOfLinks: 2, DeletePending: False, Directory: False"
"16:21:51,1635280","pafish64.exe","12688","FASTIO_QUERY_INFORMATION","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Type: QueryStandardInformationFile, AllocationSize: 4 075 520, EndOfFile: 4 075 396, NumberOfLinks: 2, DeletePending: False, Directory: False"
"16:21:51,1635437","pafish64.exe","12688","FASTIO_ACQUIRE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\apppatch\sysmain.sdb","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"16:21:51,1635593","pafish64.exe","12688","FASTIO_QUERY_INFORMATION","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Type: QueryStandardInformationFile, AllocationSize: 4 075 520, EndOfFile: 4 075 396, NumberOfLinks: 2, DeletePending: False, Directory: False"
"16:21:51,1635711","pafish64.exe","12688","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"16:21:51,1635838","pafish64.exe","12688","FASTIO_ACQUIRE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\apppatch\sysmain.sdb","SUCCESS","SyncType: SyncTypeOther"
"16:21:51,1635944","pafish64.exe","12688","FASTIO_RELEASE_FOR_SECTION_SYNCHRONIZATION","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"16:21:51,1640073","pafish64.exe","12688","IRP_MJ_CREATE","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"16:21:51,1640707","pafish64.exe","12688","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","Desired Access: Query Value"
"16:21:51,1641013","pafish64.exe","12688","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache","SUCCESS","Type: REG_SZ, Length: 110, Data: C:\Users\LGE\AppData\Local\Microsoft\Windows\INetCache"
"16:21:51,1641310","pafish64.exe","12688","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS",""
"16:21:51,1641612","pafish64.exe","12688","IRP_MJ_QUERY_SECURITY","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label, Attribute, Process Trust Label, 0x100"
"16:21:51,1643309","pafish64.exe","12688","IRP_MJ_CREATE","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"16:21:51,1644577","pafish64.exe","12688","FASTIO_QUERY_INFORMATION","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 14/01/2026 09:33:13, LastAccessTime: 23/01/2026 16:21:51, LastWriteTime: 14/01/2026 09:33:13, ChangeTime: 14/01/2026 09:49:57, FileAttributes: A"
"16:21:51,1644737","pafish64.exe","12688","IRP_MJ_CLEANUP","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"16:21:51,1645017","pafish64.exe","12688","IRP_MJ_CLOSE","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"16:21:51,1645276","pafish64.exe","12688","FASTIO_QUERY_INFORMATION","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 23/01/2026 16:09:32, LastAccessTime: 23/01/2026 16:21:50, LastWriteTime: 23/01/2026 16:09:37, ChangeTime: 23/01/2026 16:21:02, FileAttributes: A"
"16:21:51,1646658","pafish64.exe","12688","IRP_MJ_CLEANUP","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS",""
"16:21:51,1647327","pafish64.exe","12688","IRP_MJ_CLOSE","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS",""
"16:21:51,1649116","pafish64.exe","12688","IRP_MJ_CREATE","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"16:21:51,1649706","pafish64.exe","12688","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","Desired Access: Query Value"
"16:21:51,1650000","pafish64.exe","12688","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache","SUCCESS","Type: REG_SZ, Length: 110, Data: C:\Users\LGE\AppData\Local\Microsoft\Windows\INetCache"
"16:21:51,1650293","pafish64.exe","12688","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS",""
"16:21:51,1650588","pafish64.exe","12688","IRP_MJ_QUERY_SECURITY","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label, Attribute, Process Trust Label, 0x100"
"16:21:51,1650804","pafish64.exe","12688","FASTIO_QUERY_INFORMATION","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 23/01/2026 16:09:32, LastAccessTime: 23/01/2026 16:21:50, LastWriteTime: 23/01/2026 16:09:37, ChangeTime: 23/01/2026 16:21:02, FileAttributes: A"
"16:21:51,1651163","pafish64.exe","12688","IRP_MJ_CLEANUP","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS",""
"16:21:51,1651428","pafish64.exe","12688","IRP_MJ_CLOSE","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS",""
"16:21:51,1654408","pafish64.exe","12688","RegOpenKey","HKLM\SYSTEM\CurrentControlSet\Control\Session Manager","REPARSE","Desired Access: Query Value, Enumerate Sub Keys"
"16:21:51,1654968","pafish64.exe","12688","RegOpenKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS","Desired Access: Query Value, Enumerate Sub Keys"
"16:21:51,1655259","pafish64.exe","12688","RegQueryValue","HKLM\System\CurrentControlSet\Control\Session Manager\ResourcePolicies","NAME NOT FOUND","Length: 24"
"16:21:51,1655765","pafish64.exe","12688","RegCloseKey","HKLM\System\CurrentControlSet\Control\Session Manager","SUCCESS",""
"16:21:51,1657473","pafish64.exe","12688","IRP_MJ_CLEANUP","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"16:21:51,1657747","pafish64.exe","12688","IRP_MJ_CLOSE","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"16:21:51,1662832","pafish64.exe","12688","IRP_MJ_CREATE","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"16:21:51,1666414","pafish64.exe","12688","RegOpenKey","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS","Desired Access: Query Value"
"16:21:51,1666731","pafish64.exe","12688","RegQueryValue","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders\Cache","SUCCESS","Type: REG_SZ, Length: 110, Data: C:\Users\LGE\AppData\Local\Microsoft\Windows\INetCache"
"16:21:51,1667760","pafish64.exe","12688","RegCloseKey","HKCU\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\Shell Folders","SUCCESS",""
"16:21:51,1668238","pafish64.exe","12688","IRP_MJ_QUERY_SECURITY","C:\Users\LGE\Downloads\pafish64.exe","SUCCESS","Information: Owner, Group, DACL, SACL, Label, Attribute, Process Trust Label, 0x100"
"16:21:51,1670568","pafish64.exe","12688","IRP_MJ_CREATE","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, AllocationSize: n/a, OpenResult: Opened"
"16:21:51,1671548","pafish64.exe","12688","FASTIO_QUERY_INFORMATION","C:\Windows\apppatch\sysmain.sdb","SUCCESS","Type: QueryBasicInformationFile, CreationTime: 14/01/2026 09:33:13, LastAccessTime: 23/01/2026 16:21:51, LastWriteTime: 14/01/2026 09:33:13, ChangeTime: 14/01/2026 09:49:57, FileAttributes: A"
"16:21:51,1671759","pafish64.exe","12688","IRP_MJ_CLEANUP","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
"16:21:51,1672079","pafish64.exe","12688","IRP_MJ_CLOSE","C:\Windows\apppatch\sysmain.sdb","SUCCESS",""
